org_name,condition_or_gene,gene,citizen_page_url
ADCY5 registry (Citizen Health),ADCY5,ADCY5,https://www.citizen.health/ai-advocate/adcy5
AGS registry (Citizen Health),AGS,AGS,https://www.citizen.health/ai-advocate/agsaa
CACNA1A registry (Citizen Health),CACNA1A,CACNA1A,https://www.citizen.health/ai-advocate/cacna1a
CASK registry (Citizen Health),CASK,CASK,https://www.citizen.health/ai-advocate/project-cask
CFC registry (Citizen Health),CFC,CFC,https://www.citizen.health/ai-advocate/cfc-international
CHD2 registry (Citizen Health),CHD2,CHD2,https://www.citizen.health/ai-advocate/ccc
CLN2 registry (Citizen Health),CLN2,CLN2,https://www.citizen.health/ai-advocate/cln2
CMT4B3 registry (Citizen Health),CMT4B3,CMT4B3,https://www.citizen.health/ai-advocate/cmt4b3
CMT4J registry (Citizen Health),CMT4J,CMT4J,https://www.citizen.health/ai-advocate/cure-cmt4j
CSNK2B registry (Citizen Health),CSNK2B,CSNK2B,https://www.citizen.health/ai-advocate/csnk2b-foundation
CTNNB1 registry (Citizen Health),CTNNB1,CTNNB1,https://www.citizen.health/ai-advocate/ctnnb1
Cohen Syndrome registry (Citizen Health),Cohen Syndrome,,https://www.citizen.health/ai-advocate/csrf
Cri du Chat registry (Citizen Health),Cri du Chat,,https://www.citizen.health/ai-advocate/cri-du-chat
CureNURR1 registry (Citizen Health),CureNURR1,,https://www.citizen.health/ai-advocate/curenurr1
DAND registry (Citizen Health),DAND,DAND,https://www.citizen.health/ai-advocate/dand-alliance
DLG4 registry (Citizen Health),DLG4,DLG4,https://www.citizen.health/ai-advocate/shine-syndrome
DNM1-related epilepsy registry (Citizen Health),DNM1-related epilepsy,DNM1,https://www.citizen.health/ai-advocate/dnm1-epilepsy
DYNC1H1 registry (Citizen Health),DYNC1H1,DYNC1H1,https://www.citizen.health/ai-advocate/dync1h1-association
Dravet Syndrome registry (Citizen Health),Dravet Syndrome,SCN1A,https://www.citizen.health/ai-advocate/dravet-syndrome
Dup15q registry (Citizen Health),Dup15q,,https://www.citizen.health/ai-advocate/dup15q
Epilepsy registry (Citizen Health),Epilepsy,,https://www.citizen.health/ai-advocate/eeg-to-go
Epilepsy registry (Citizen Health),Epilepsy,,https://www.citizen.health/ai-advocate/epilepsy-awareness-day
FAM177A1 registry (Citizen Health),FAM177A1,FAM177A1,https://www.citizen.health/ai-advocate/fam177a1
FOXG1 registry (Citizen Health),FOXG1,FOXG1,https://www.citizen.health/ai-advocate/foxg1
FOXP1 Syndrome registry (Citizen Health),FOXP1 Syndrome,FOXP1,https://www.citizen.health/ai-advocate/foxp1
GABA-A registry (Citizen Health),GABA-A,GABA,https://www.citizen.health/ai-advocate/gaba-a
GABRA1 registry (Citizen Health),GABRA1,GABRA1,https://www.citizen.health/ai-advocate/gabra1
GLUT1 registry (Citizen Health),GLUT1,GLUT1,https://www.citizen.health/ai-advocate/g1df
Galactosemia registry (Citizen Health),Galactosemia,,https://www.citizen.health/ai-advocate/galactosemia-foundation
Gallbladder Cancer registry (Citizen Health),Gallbladder Cancer,,https://www.citizen.health/ai-advocate/gcf
HNRNPH2 registry (Citizen Health),HNRNPH2,HNRNPH2,https://www.citizen.health/ai-advocate/to-cure-a-rose-foundation
Heterotaxy registry (Citizen Health),Heterotaxy,,https://www.citizen.health/ai-advocate/heterotaxy-connection
KCNH1 registry (Citizen Health),KCNH1,KCNH1,https://www.citizen.health/ai-advocate/kcnh1
KCNQ2 registry (Citizen Health),KCNQ2,KCNQ2,https://www.citizen.health/ai-advocate/kcnq2
KCNT1 Epilepsy registry (Citizen Health),KCNT1 Epilepsy,KCNT1,https://www.citizen.health/ai-advocate/kcnt1
KMT2C registry (Citizen Health),KMT2C,KMT2C,https://www.citizen.health/ai-advocate/kmt2c
KMT2E registry (Citizen Health),KMT2E,KMT2E,https://www.citizen.health/ai-advocate/kmt2e-foundation
Kabuki Syndrome registry (Citizen Health),Kabuki Syndrome,,https://www.citizen.health/ai-advocate/kabuki-sydrome-foundation
KdVS registry (Citizen Health),KdVS,,https://www.citizen.health/ai-advocate/koolen-de-vries-syndrome
Kleefstra registry (Citizen Health),Kleefstra,,https://www.citizen.health/ai-advocate/kleefstra-syndrome
LGMD2L registry (Citizen Health),LGMD2L,LGMD2L,https://www.citizen.health/ai-advocate/lgmd2l
